scientific_name,common_name,category,growth_habit,height_mature_ft,shade_tolerance,notes,usda_hardiness_zone,water,catalog_source
Ribes uva-crispa 'Achilles',Achilles Gooseberry,berry,gooseberry,4.0,partial,"Plant dormant bushes in fall or early spring in fertile, well-drained soil, and prune annually to an open center for good air movement. Achilles is a mildew-resistant red gooseberry developed at England's East Malling Research Station, valued for pairing heavy, reliable cropping with much better resistance to American gooseberry mildew than older varieties like Leveller. The medium-large, smooth berries ripen to a deep pinkish-red with a well-balanced sweet-tart flavor good for both fresh eating and cooking. Its upright, moderately vigorous bush is easier to manage and pick than sprawling heirloom types, making it a practical choice for smaller home orchards.",4-7,moderate,OpenPlantDB (CC0)
Mahonia trifoliolata,"Agarita (Agarito, Algerita, Texas Barberry)",berry,native edible evergreen shrub,6.0,partial,"Plant in very well-drained, lean, alkaline to neutral, dry soil in full sun to partial shade; agarita is a classic native Texas evergreen shrub with small, three-lobed, holly-like leaves (each with sharp spines) arranged in a distinctive trifoliate pattern — it looks like a small holly with fierce spines and makes an impenetrable wildlife barrier hedge. In spring it produces clusters of small, intensely fragrant yellow flowers, followed by brilliant red tart berries in late spring that are relished by birds and made by Texas foragers into highly prized jelly. The flavor is tart-sweet, similar to a currant. The berries ripen and fall quickly — traditionally harvested by spreading a tarp under the shrub and shaking the branches. Deer browse it rarely due to the spines. A tough, beautiful, and ecologically valuable native for difficult dry spots in zone 6–9.",6-9,low,OpenPlantDB (CC0)
Vitis rotundifolia 'Alachua',Alachua Muscadine,berry,muscadine grape,15.0,full,"Plant in full sun in well-drained, fertile soil; train onto a sturdy trellis or arbor and prune heavily each winter to maintain productive fruiting wood. Alachua is a University of Florida-released black muscadine bred and selected specifically for the low-chill, high-heat, high-humidity conditions of Florida and the Deep South, where it produces large, high-quality fruit reliably even in areas too warm for many Georgia- and Carolina-bred muscadine cultivars. The self-fertile vine is vigorous and productive, bearing medium-to-large black fruit with good sweetness and flavor well suited to both fresh eating and processing. Its Florida-focused breeding makes it a particularly strong choice for muscadine growers in the warmest parts of the Gulf South, zone 7–10.",7-10,moderate,OpenPlantDB (CC0)
Vaccinium corymbosum interspecific hybrid 'Alachua',Alachua Southern Highbush Blueberry (Florida-Bred Low-Chill Blueberry),berry,blueberry,6.0,full,"Amend the planting bed to pH 4.5-5.2 with pine bark fines before setting out dormant bushes in winter, and mulch well to conserve moisture around the shallow root zone. Alachua is a University of Florida southern highbush release bred for the state's mild winters, producing medium to large, firm, flavorful berries on a vigorous bush that ripens over a solid midseason window. Its very low chilling requirement makes it a dependable choice even after an unusually warm winter along the Gulf Coast, where higher-chill varieties can bloom poorly or fail to set fruit. Plant with a second low-chill southern highbush cultivar nearby to improve pollination and yield, fertilize with acid-forming fertilizer in early spring, and prune out old wood each winter to sustain strong production.",8-10,moderate,OpenPlantDB (CC0)
Vaccinium virgatum 'Alapaha',Alapaha Blueberry,berry,blueberry,8.0,full,"Amend soil to pH 4.5-5.0 with peat or elemental sulfur before planting; Alapaha is an early-ripening rabbiteye blueberry released by the University of Georgia and named for the Alapaha River region of south Georgia, bred to combine early harvest timing with better-than-average tolerance of Septoria and other leaf-spot diseases common in humid Gulf South summers. Berries are medium-sized, light blue, and firm with good flavor for an early variety. Fruit set improves noticeably with a second rabbiteye cultivar planted nearby, since Alapaha is only partially self-fruitful. The upright, vigorous bush needs little training beyond removing old unproductive canes each winter. Mulch generously with pine bark or pine straw and avoid overhead irrigation late in the day to further reduce leaf-spot pressure in humid climates.",7-9,moderate,OpenPlantDB (CC0)
Vaccinium virgatum 'Alapaha',Alapaha Rabbiteye Blueberry,berry,blueberry,9.0,full,"Plant in acidic (pH 4.5–5.5), well-drained sandy or loamy soil with pine bark amendment in full sun; Alapaha is a University of Georgia-released rabbiteye blueberry selected for exceptional berry quality — the fruit is large, light blue, and has a dessert quality with a sweet-tart balance and crisp texture that earned it high consumer preference ratings in taste trials. Released in 2001, Alapaha is among the newer rabbiteye cultivars with improved fruit quality over the older varieties developed in the mid-20th century. It ripens early in the rabbiteye season (late May to mid-June in zone 8–9), overlapping with Premier and producing well with 300–400 chilling hours. The moderately vigorous, upright-to-spreading shrubs are productive and show reasonable resistance to late-season water stress.",6-9,moderate,OpenPlantDB (CC0)
Ribes alpinum,Alpine Currant (Mountain Currant),berry,shade shrub,6.0,shade,"Alpine currant is an extremely tough, compact, mound-forming shrub long used for shade hedging in cold climates where few other woody plants tolerate dense shade and dry soil so well. Plant in fall or spring in average, well-drained soil; it is not particular about soil pH or fertility and shrugs off urban pollution and road salt. Inconspicuous greenish-yellow flowers appear in spring, and female plants (this species is dioecious, so both sexes are needed for fruit) set small, glossy red currants in midsummer that are edible but tart and bland, used mainly by birds or for jelly rather than fresh eating. Prune after flowering to maintain a formal hedge shape, since it tolerates shearing extremely well and rarely needs spraying for pests.",2-7,moderate,OpenPlantDB (CC0)
Berberis canadensis,American Barberry,berry,native deciduous shrub,6.0,full,"Plant in well-drained, average soil in full sun to partial shade; American barberry is a thorny, deciduous Appalachian native shrub with small, spine-tipped leaves, drooping clusters of small yellow flowers in late spring, and bright red, elongated berries that ripen in fall and persist into winter, providing food for birds when little else is available. It is a genuinely native, non-invasive alternative for gardeners who want the ornamental berry and thorny-hedge qualities of barberry without planting the widely naturalized and ecologically disruptive Japanese barberry. Because Berberis species can serve as an alternate host for wheat stem rust, avoid planting it in large numbers near commercial grain fields, a precaution that led to historic eradication programs targeting common barberry in agricultural regions. Otherwise easy to grow and largely trouble-free, it works well as an informal barrier hedge, wildlife planting, or specimen in a naturalistic border.",5-8,moderate,OpenPlantDB (CC0)
Sambucus canadensis,American Elderberry,berry,native deciduous shrub,12.0,partial,"Root hardwood cuttings or plant container specimens in moist to wet, slightly acidic to neutral soil in partial shade to full sun, planting two different cultivars for cross-pollination; American elderberry is a fast-growing native shrub of floodplains and woodland edges that produces large, flat-topped clusters of tiny, white, fragrant flowers in early summer followed by hanging clusters of small, dark-purple to black berries in late summer that are among the most nutritious and medicinally valued native fruits in North America — the basis of elderberry syrup, wine, pies, jams, and traditional immune-support preparations. Never eat raw elderberries in quantity (mildly toxic); cooking destroys the problematic compounds. The flowers are also edible and delicious battered and fried or infused into cordials. Excellent wildlife plant, supporting over 50 bird species. Named varieties 'Bob Gordon', 'Adams', and 'Nova' have larger berries and heavier yields.",3-9,moderate,OpenPlantDB (CC0)
Ribes hirtellum,American Gooseberry (Northern Gooseberry),berry,native edible shrub,5.0,partial,"Plant in moist, slightly acidic to neutral, well-drained soil in partial shade to full sun — American gooseberry is the native gooseberry of the northeastern US and Canada, one of the most productive edible native shrubs for cool-climate food gardens. The tart-sweet berries (ripening from green to reddish-purple in midsummer) are excellent for pies, jams, preserves, and fresh eating when fully ripe. The shrub tolerates partial shade better than most fruiting shrubs and produces reliably in conditions too shaded for currants and jostaberries. The stems bear short, sharp spines at the nodes; wear gloves when harvesting. American gooseberry is more resistant to powdery mildew than European gooseberry (R. uva-crispa), making it easier to grow in humid climates. Best in zones 3–7; does not perform well in hot, humid summers of zone 8 and south. Check state regulations on Ribes planting before ordering.",3-7,moderate,OpenPlantDB (CC0)
